Type	Type1	Type2	Fresh_fluor	Froz_fluor	Species	Common_name
Swab_total	Swab	Total_spores	21143	20728	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22022	21590	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21873	21444	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22942	22492	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21692	21266	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	22520	22078	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	22831	22383	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21828	21400	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21890	21460	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	22643	22199	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21524	21101	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21364	20945	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21569	21146	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21706	21280	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21750	21323	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21951	21520	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	21964	21533	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	22355	21916	Bombina orientalis	Fire bellied toad
Swab_viable	Swab	Viable_spores	22822	22374	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	30596	30905	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	29253	29548	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	29113	29407	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	21644	21862	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	20998	21210	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	20751	20960	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	32155	32479	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	30102	30406	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	30348	30654	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	21864	22084	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	19045	20206	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	18711	19852	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	21392	22696	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	20193	21423	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	20222	21454	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	34374	35406	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	32363	33334	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	32779	33763	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	21715	22367	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	20871	21498	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	20598	21216	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	37912	39050	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	34752	35795	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	34961	36010	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	21478	22123	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	20926	21554	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	19450	20034	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	22877	23564	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	23354	24055	Salamandra salamandra	Fire salamander
Muc_viable	Mucosome	Viable_spores	21492	22137	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	24652	25392	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	23350	24051	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	25138	25893	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	21840	22496	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	21158	21793	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	20799	21423	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	22256	22924	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	20957	21586	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	22746	23429	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	22310	22980	Salamandra salamandra	Fire salamander
