Type	Type1	Type2	Total_fluor	Species	Common_name	Viable_fluor	Per_viable
Swab_total	Swab	Total_spores	21873	Bombina orientalis	Fire bellied toad	22355	98
Swab_total	Swab	Total_spores	22942	Bombina orientalis	Fire bellied toad	22822	100
Muc_total	Mucosome	Total_spores	30596	Salamandra salamandra	Fire salamander	34374	90
Muc_total	Mucosome	Total_spores	29253	Salamandra salamandra	Fire salamander	32363	91
Muc_total	Mucosome	Total_spores	29113	Salamandra salamandra	Fire salamander	32779	89
Muc_total	Mucosome	Total_spores	21644	Salamandra salamandra	Fire salamander	21715	100
Muc_total	Mucosome	Total_spores	20998	Salamandra salamandra	Fire salamander	20871	100
Muc_total	Mucosome	Total_spores	20751	Salamandra salamandra	Fire salamander	20598	100
Muc_total	Mucosome	Total_spores	32155	Salamandra salamandra	Fire salamander	37912	85
Muc_total	Mucosome	Total_spores	30102	Salamandra salamandra	Fire salamander	34752	87
Muc_total	Mucosome	Total_spores	30348	Salamandra salamandra	Fire salamander	34961	87
Muc_total	Mucosome	Total_spores	21864	Salamandra salamandra	Fire salamander	21478	100
Muc_total	Mucosome	Total_spores	19045	Salamandra salamandra	Fire salamander	20926	92
Muc_total	Mucosome	Total_spores	18711	Salamandra salamandra	Fire salamander	19450	97
Muc_total	Mucosome	Total_spores	21392	Salamandra salamandra	Fire salamander	22877	94
Muc_total	Mucosome	Total_spores	20193	Salamandra salamandra	Fire salamander	23354	87
Muc_total	Mucosome	Total_spores	20222	Salamandra salamandra	Fire salamander	21492	95
Swab_total	Swab	Total_spores	24652	Salamandra salamandra	Fire salamander	24771	100
Swab_total	Swab	Total_spores	23350	Salamandra salamandra	Fire salamander	23840	98
Swab_total	Swab	Total_spores	25138	Salamandra salamandra	Fire salamander	25148	100
Swab_total	Swab	Total_spores	21840	Salamandra salamandra	Fire salamander	23201.85	95
Swab_total	Swab	Total_spores	21158	Salamandra salamandra	Fire salamander	21966	97
Swab_total	Swab	Total_spores	20799	Salamandra salamandra	Fire salamander	21402.15	98
Swab_total	Swab	Total_spores	22256	Salamandra salamandra	Fire salamander	23245.95	96
Swab_total	Swab	Total_spores	20957	Salamandra salamandra	Fire salamander	22387.05	94
Swab_total	Swab	Total_spores	22746	Salamandra salamandra	Fire salamander	24022.35	95
Swab_total	Swab	Total_spores	22310	Salamandra salamandra	Fire salamander	22656.9	99
Swab_total	Swab	Total_spores	20446	Salamandra salamandra	Fire salamander	21648.9	95
Swab_total	Swab	Total_spores	21129	Salamandra salamandra	Fire salamander	22913.75	93
Swab_total	Swab	Total_spores	22250	Salamandra salamandra	Fire salamander	22886.85	98
Swab_total	Swab	Total_spores	21414	Salamandra salamandra	Fire salamander	22222.2	97
Swab_total	Swab	Total_spores	20872	Salamandra salamandra	Fire salamander	21174.3	99
Muc_total	Mucosome	Total_spores	21791	Ambystoma maculatum	Spotted salamander	22806	96
Muc_total	Mucosome	Total_spores	20107	Ambystoma maculatum	Spotted salamander	21346	95
Muc_total	Mucosome	Total_spores	20388	Ambystoma maculatum	Spotted salamander	21280	96
Muc_total	Mucosome	Total_spores	21461	Ambystoma maculatum	Spotted salamander	23171	93
Muc_total	Mucosome	Total_spores	19861	Ambystoma maculatum	Spotted salamander	21902	91
Muc_total	Mucosome	Total_spores	20508	Ambystoma maculatum	Spotted salamander	22256	93
Muc_total	Mucosome	Total_spores	34062	Ambystoma maculatum	Spotted salamander	38879	88
Muc_total	Mucosome	Total_spores	32405	Ambystoma maculatum	Spotted salamander	38213	85
Muc_total	Mucosome	Total_spores	32028	Ambystoma maculatum	Spotted salamander	38203	84
Muc_total	Mucosome	Total_spores	30400	Ambystoma maculatum	Spotted salamander	33635	91
Muc_total	Mucosome	Total_spores	31534	Ambystoma maculatum	Spotted salamander	34763	91
Muc_total	Mucosome	Total_spores	32017	Ambystoma maculatum	Spotted salamander	34845	92
Muc_total	Mucosome	Total_spores	24442	Ambystoma maculatum	Spotted salamander	27486	89
Muc_total	Mucosome	Total_spores	25026	Ambystoma maculatum	Spotted salamander	29056	87
Muc_total	Mucosome	Total_spores	25320	Ambystoma maculatum	Spotted salamander	28943	88
Swab_total	Swab	Total_spores	22488	Ambystoma maculatum	Spotted salamander	23199.75	97
Swab_total	Swab	Total_spores	20586	Ambystoma maculatum	Spotted salamander	21476.7	96
Swab_total	Swab	Total_spores	21352	Ambystoma maculatum	Spotted salamander	23204.7	93
Swab_total	Swab	Total_spores	22156	Ambystoma maculatum	Spotted salamander	23312.1	96
Swab_total	Swab	Total_spores	21602	Ambystoma maculatum	Spotted salamander	23393.3	93
Swab_total	Swab	Total_spores	21490	Ambystoma maculatum	Spotted salamander	21720.3	99
Swab_total	Swab	Total_spores	23562	Ambystoma maculatum	Spotted salamander	24406.2	97
Swab_total	Swab	Total_spores	23000	Ambystoma maculatum	Spotted salamander	23639.7	98
Swab_total	Swab	Total_spores	23607	Ambystoma maculatum	Spotted salamander	25484	93
Swab_total	Swab	Total_spores	22585	Ambystoma maculatum	Spotted salamander	23222	98
Swab_total	Swab	Total_spores	22875	Ambystoma maculatum	Spotted salamander	23393	98
Swab_total	Swab	Total_spores	23466	Ambystoma maculatum	Spotted salamander	23471	100
Swab_total	Swab	Total_spores	20159	Ambystoma maculatum	Spotted salamander	21703.5	93
Swab_total	Swab	Total_spores	20876	Ambystoma maculatum	Spotted salamander	21665.7	97
Swab_total	Swab	Total_spores	22797	Ambystoma maculatum	Spotted salamander	24237.4	95
